,product,date,year,Foundry,num_shading_units,num_compute_units,num_tensor_cores,flops,FP16_flops,FP32_flops,FP64_flops,timestamp,real_price_2020,process_size_in_nm,TDP_in_W,transistors_in_millions,die_size_in_mm,base_clock_in_MHz,bandwidth_in_GBs,bus_width_in_bit,GPU_clock_in_MHz,length_in_mm,memory_bus_in_bit,memory_clock_in_MHz,memory_size_in_MB,pixel_rate_in_MPixel_per_s,texture_rate_in_GTexel_per_s,num_cores
3523,NVIDIA GeForce GTX 480,2010-03-26 12:00:00,2010.0,TSMC,480.0,,,1345000000000.0,,1345000000000.0,168100000000.0,1269561600.0,592.2638634112337,40,250.0,3100.0,529.0,,177.4,384.0,701.0,267.0,384.0,924.0,1536.0,21030.0,42.06,480
3524,AMD Radeon HD 7450 OEM,2012-01-05 12:00:00,2012.0,TSMC,160.0,2.0,,200000000000.0,,200000000000.0,,1325721600.0,,40,18.0,370.0,67.0,,8.528,64.0,625.0,168.0,64.0,533.0,512.0,2500.0,5.0,160
3525,Intel GMA 3650,2008-10-01 12:00:00,2008.0,Intel,32.0,,,40960000000.0,,40960000000.0,,1222819200.0,,65,13.0,,,,,,640.0,,,,,640.0,2.56,32
3528,NVIDIA Quadro K2000M,2012-06-01 12:00:00,2012.0,TSMC,384.0,,,572200000000.0,,572200000000.0,23840000000.0,1338508800.0,,28,55.0,1270.0,118.0,,28.8,128.0,745.0,,128.0,900.0,2000.0,5960.0,23.84,384
3529,AMD Radeon HD 8310G IGP,,,TSMC,128.0,2.0,,141800000000.0,,141800000000.0,,,,32,20.0,1303.0,246.0,424.0,,,,,,,,2216.0,4.432,128
3530,Intel Iris Pro Graphics 6200,2014-09-05 12:00:00,2014.0,Intel,384.0,,,844800000000.0,,844800000000.0,211200000000.0,1409875200.0,,14,15.0,,,300.0,,,,,,,,6600.0,52.8,384
3532,NVIDIA GeForce GT 440 OEM,2010-10-11 12:00:00,2010.0,TSMC,144.0,,,466600000000.0,,466600000000.0,38880000000.0,1286755200.0,,40,65.0,1170.0,238.0,,43.2,192.0,810.0,145.0,192.0,900.0,1536.0,4860.0,19.44,144
3535,AMD Radeon HD 7640G IGP,2012-05-15 12:00:00,2012.0,TSMC,256.0,4.0,,335400000000.0,,335400000000.0,,1337040000.0,,32,35.0,1303.0,246.0,496.0,,,,,,,,5240.0,10.48,256
3536,ATI Radeon HD 3450 PCI,2008-01-23 12:00:00,2008.0,TSMC,40.0,2.0,,48000000000.0,,48000000000.0,,1201046400.0,,55,25.0,181.0,67.0,,6.4,64.0,600.0,,64.0,400.0,512.0,2400.0,2.4,40
3537,NVIDIA Tesla K20Xm,2012-11-12 12:00:00,2012.0,TSMC,2688.0,,,3935000000000.0,,3935000000000.0,1312000000000.0,1352678400.0,8678.73676576914,28,235.0,7080.0,561.0,,249.6,384.0,732.0,267.0,384.0,1300.0,6000.0,40990.0,164.0,2688
3538,NVIDIA GeForce 910M,2015-03-13 12:00:00,2015.0,TSMC,384.0,,,492300000000.0,,492300000000.0,20510000000.0,1426204800.0,,28,33.0,1020.0,87.0,,16.02,64.0,641.0,,64.0,1001.0,2000.0,5128.0,20.51,384
3539,AMD Radeon R5 M330,2015-05-05 12:00:00,2015.0,TSMC,320.0,5.0,,659200000000.0,,659200000000.0,41200000000.0,1430784000.0,,28,18.0,690.0,56.0,955.0,14.4,64.0,,,64.0,900.0,2000.0,8240.0,20.6,320
3540,NVIDIA GeForce 820M,2015-03-21 12:00:00,2015.0,TSMC,384.0,,,622100000000.0,,622100000000.0,25920000000.0,1426896000.0,,28,45.0,1270.0,118.0,,28.83,128.0,810.0,,128.0,901.0,2000.0,6480.0,25.92,384
3541,NVIDIA Quadro 600,2010-12-13 12:00:00,2010.0,TSMC,96.0,,,245800000000.0,,245800000000.0,20480000000.0,1292198400.0,212.4553738489195,40,40.0,585.0,116.0,,25.6,128.0,640.0,168.0,128.0,800.0,1024.0,2560.0,10.24,96
